,,,,,,,,,,,,,,,,,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
21,2019-02-02,@,Baylor,L,64,90,101.6,142.9,62.9,.298,.246,.492,37.5,37.5,3.2,17.1,,.456,12.1,28.6,.211,,.675,13.0,48.3,.079
22,2019-02-06,,Oklahoma State,W,70,68,104.5,101.5,66.6,.293,.517,.530,53.6,60.9,7.5,13.9,,.491,13.1,26.7,.224,,.529,14.5,84.6,.250
23,2019-02-09,@,Iowa State,W,92,83,119.5,107.8,76.9,.419,.290,.619,48.4,57.6,13.0,18.4,,.597,11.9,29.0,.290,,.508,17.0,67.7,.323
24,2019-02-11,,Kansas,L (1 OT),77,82,91.7,97.6,74.4,.338,.366,.467,44.6,48.1,9.5,10.5,,.437,12.7,20.9,.211,,.478,16.0,70.0,.250
25,2019-02-16,,Oklahoma,L,62,71,91.2,104.4,68.0,.123,.492,.451,50.8,60.9,13.2,10.5,,.423,15.9,32.4,.108,,.565,15.5,79.2,.185
26,2019-02-18,@,Oklahoma State,L,61,68,92.4,103.0,65.9,.208,.340,.524,51.6,34.8,4.5,21.2,,.481,19.4,22.2,.189,,.474,13.2,73.0,.224
27,2019-02-23,,Iowa State,W,75,72,102.7,98.6,72.8,.400,.367,.525,52.1,69.2,12.3,4.1,,.508,18.3,39.5,.233,,.464,12.9,65.7,.116
28,2019-02-26,@,West Virginia,L (3 OT),96,104,91.4,99.0,76.4,.250,.338,.536,44.7,36.8,16.2,13.7,,.531,21.1,22.5,.138,,.500,19.7,64.4,.268
29,2019-03-02,,Texas Tech,L,66,81,100.0,122.7,65.7,.226,.403,.481,49.1,62.5,15.2,5.4,,.460,12.7,38.2,.145,,.638,16.3,65.2,.121
30,2019-03-04,,Kansas State,L,52,64,89.7,110.3,58.2,.208,.333,.493,45.8,70.0,10.3,15.2,,.469,19.8,25.9,.146,,.520,12.6,71.4,.265
31,2019-03-09,@,Texas,W,69,56,106.2,86.2,65.3,.180,.340,.636,60.8,55.6,4.6,17.5,,.630,21.7,26.3,.120,,.407,12.5,81.3,.136
32,2019-03-13,N,Oklahoma State,W,73,70,101.4,97.2,71.7,.286,.393,.574,56.9,63.0,11.1,15.2,,.571,20.1,30.0,.161,,.500,15.1,80.0,.129
33,2019-03-14,N,Kansas State,L,61,70,89.7,102.9,67.6,.288,.327,.516,51.5,56.5,8.8,10.8,,.490,22.3,26.7,.192,,.484,11.5,71.1,.161
34,2019-03-20,,Sam Houston State,W,82,69,113.9,95.8,71.6,.475,.373,.567,54.4,62.5,12.5,9.1,,.593,14.2,34.3,.203,,.523,15.2,75.8,.015
35,2019-03-24,,Nebraska,W,88,72,129.4,105.9,68.0,.439,.491,.639,47.7,69.0,1.5,11.6,,.596,10.4,26.7,.351,,.485,7.6,65.7,.138
36,2019-03-26,,Creighton,W,71,58,102.9,84.1,68.6,.286,.357,.558,52.2,61.5,8.7,14.8,,.527,17.0,24.1,.214,,.440,16.7,73.7,.121
