,,,,,,,,,,,,,,,,,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
20,2019-01-26,@,Georgia,L,88,98,108.6,121.0,80.7,.221,.412,.586,38.5,42.4,21.0,12.9,,.574,16.6,27.8,.147,,.792,29.8,62.5,.458
21,2019-01-29,,Kansas,W,73,63,115.9,100.0,62.8,.460,.560,.599,51.9,61.9,7.9,6.1,,.520,16.5,32.1,.420,,.490,14.6,73.1,.255
22,2019-02-02,@,Iowa State,L,60,65,93.8,101.6,63.9,.196,.411,.490,50.8,31.8,9.4,0.0,,.446,17.5,29.0,.179,,.500,14.2,73.3,.204
23,2019-02-06,,Baylor,W,84,72,123.5,105.9,68.1,.694,.408,.645,50.9,48.1,7.4,12.8,,.633,12.1,30.8,.449,,.553,17.9,70.4,.158
24,2019-02-09,@,West Virginia,W,75,53,117.2,82.8,64.3,.203,.359,.534,53.7,55.2,10.9,5.7,,.523,10.2,35.3,.125,,.382,15.4,72.7,.275
25,2019-02-12,,Kansas State,L,64,71,106.7,118.3,59.5,.553,.404,.539,54.7,47.6,8.3,5.9,,.489,15.6,37.9,.383,,.627,13.7,75.0,.137
26,2019-02-16,,Oklahoma State,W,69,57,113.1,93.4,60.6,.383,.447,.621,54.5,34.8,4.9,10.0,,.564,16.5,30.4,.340,,.453,12.8,71.9,.170
27,2019-02-23,@,Oklahoma,L,67,69,98.5,101.5,68.5,.148,.508,.513,48.3,44.0,10.3,15.9,,.492,10.9,18.2,.115,,.534,12.4,88.0,.121
28,2019-02-27,@,Baylor,L (1 OT),83,84,118.6,120.0,62.5,.177,.435,.617,40.3,67.7,8.6,13.2,,.621,16.2,27.6,.097,,.516,13.0,51.5,.323
29,2019-03-02,,Iowa State,W,86,69,138.7,111.3,62.1,.283,.472,.715,49.0,62.1,4.8,5.3,,.689,10.4,28.6,.245,,.509,13.7,64.3,.236
30,2019-03-04,@,Texas Tech,L,51,70,83.6,114.8,61.1,.370,.333,.402,48.3,18.8,3.3,9.4,,.333,12.4,27.0,.278,,.590,9.4,82.6,.220
31,2019-03-09,,TCU,L,56,69,86.2,106.2,65.3,.153,.322,.443,39.2,40.9,9.2,12.1,,.407,12.5,18.8,.136,,.630,21.7,73.7,.120
32,2019-03-14,N,Kansas,L,57,65,86.4,98.5,66.0,.286,.446,.448,44.3,50.0,16.7,9.1,,.429,9.9,17.1,.161,,.445,15.5,71.4,.291
33,2019-03-19,,South Dakota State,W,79,73,114.5,105.8,69.3,.393,.679,.594,47.1,60.0,5.8,15.8,,.580,14.2,23.5,.250,,.492,12.6,70.6,.156
34,2019-03-24,,Xavier,W (1 OT),78,76,105.4,102.7,65.7,.397,.365,.521,50.0,53.8,4.1,8.9,,.500,11.8,27.5,.238,,.540,13.3,75.0,.145
35,2019-03-27,,Colorado,W,68,55,98.6,79.7,69.1,.194,.355,.502,51.4,42.3,14.5,10.5,,.492,10.6,22.9,.113,,.364,18.1,80.0,.273
